project name,github,Heroku Url
HouseMate,"https://github.com/kallaugher/houseMate, https://github.com/kallaugher/houseMate-api",http://housemate-react.herokuapp.com/
Twitch Runs,https://github.com/tchryssos/Twitchruns,http://twitchruns.herokuapp.com/
WanderLyst,"https://github.com/tonymaibox/wanderlyst-api, https://github.com/vronnieli/wanderlyst",https://wanderlyst.herokuapp.com
Menu Factory,https://github.com/dillonmcroberts/final_project,https://peaceful-brushlands-react.herokuapp.com/
Wonder Career,"https://github.com/marya314/wondercareerfrontend, https://github.com/marya314/wondercareer",https://stormy-ocean-11836.herokuapp.com/
Simultube,https://github.com/jasondecastro/simultube,http://www.simultu.be/
Staste,"https://github.com/mahatikg/react_spotify, https://github.com/mahatikg/rails-react-project",https://spotify-compare.herokuapp.com/
Magic The Gathering: The Gathering,"turingbombe/mtg_the_gathering_api, turingbombe/mtg_the_gathering",
